sample_id	platform	source
GSM9859767	GEO	GSE337705
GSM9859766	GEO	GSE337705
GSM9859765	GEO	GSE337705
GSM9859764	GEO	GSE337705
GSM9859763	GEO	GSE337705
GSM9859762	GEO	GSE337705
GSM9859761	GEO	GSE337705
GSM9859760	GEO	GSE337705
GSM9859759	GEO	GSE337705
GSM9859758	GEO	GSE337705
GSM9859757	GEO	GSE337705
GSM9859756	GEO	GSE337705
GSM9859755	GEO	GSE337705
GSM9859754	GEO	GSE337705
GSM9859753	GEO	GSE337705
GSM9859752	GEO	GSE337705
GSM9859780	GEO	GSE337706
GSM9859779	GEO	GSE337706
GSM9859778	GEO	GSE337706
GSM9859777	GEO	GSE337706
GSM9859776	GEO	GSE337706
GSM9859775	GEO	GSE337706
GSM9859774	GEO	GSE337706
GSM9859773	GEO	GSE337706
GSM9859772	GEO	GSE337706
GSM9859771	GEO	GSE337706
GSM9859770	GEO	GSE337706
GSM9859769	GEO	GSE337706
GSM9859768	GEO	GSE337706
