source	target	size_bytes	sha256	action
D:\Ovarian_AI_Target_Factory\results\pipeline_qc\20260724_230939_a6b57d7\environment_precheck.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\pipeline_qc\20260724_230939_a6b57d7\environment_precheck.json	2262	43f16b1e678778c9ae956858c4d25d4c36836f06fbb1a3bb54d7563b00a891a0	unchanged
D:\Ovarian_AI_Target_Factory\results\pipeline_qc\20260724_230939_a6b57d7\status.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\pipeline_qc\20260724_230939_a6b57d7\status.json	282	e794f5837bb732b642d0fafc5d57230d0c8c5983aff7dce084df6f5144e1d1f9	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\codex_next_tasks.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\codex_next_tasks.md	176	ab10768dd51fc6c5bb34f519546d1cac52aa731c9bb6421d2fa8c8573e1fe834	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\curated_dataset_registry.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\curated_dataset_registry.tsv	2479	cef7e6bfb40d142f4606d03adcdf43337bac35e8ea627ab9f3179998ca0054ce	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\daily_newly_detected_datasets_20260724.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\daily_newly_detected_datasets_20260724.tsv	1241	00b9466c3630fcd1bd58e7a1dc9c5a1b7daba606e20ef890ae2d49630657f556	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\Daily_Ovarian_AI_Target_Report_20260724.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\Daily_Ovarian_AI_Target_Report_20260724.md	3791	3bbb69d5e3de969d0f359c4eabcaf2c59f61950749ca5c2d1b032de855988c90	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\dataset_action_audit_20260724.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\dataset_action_audit_20260724.md	2262	606a26b4ce2e08525950765b7ceb78df70700d95122472abfad02d05c769ce08	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\literature_digest_20260724.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\literature_digest_20260724.json	15018	d4b689db8ae450c6de529c142514bcbaa00f8b5844561cfd3640f89af6e50424	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\literature_digest_20260724.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\literature_digest_20260724.md	2142	cc2593ac770d5f07788d5fb9cc9fbe59f18f446a1bc21ea4277d28bcd3227006	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\literature_filtering_audit_20260724.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\literature_filtering_audit_20260724.md	933	74216fd636ec367c526e4b5b2ef0dd0f3378106e965103b61af256a112627202	unchanged
