source	size_bytes	reason
D:\Ovarian_AI_Target_Factory\results\pipeline_qc\20260727_000754_a879f8a\pytest.xml	3823	suffix not allowed
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\dataset_watcher_20260712.log	1910	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\dataset_watcher_20260724.log	1634	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\dataset_watcher_20260725.log	896	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\literature_watcher_20260712.log	3355	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\literature_watcher_20260724.log	2442	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\literature_watcher_20260725.log	1221	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\report_generator_20260712.log	192	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\report_generator_20260724.log	128	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\daily_reports\logs\report_generator_20260725.log	64	not part of requested run/date
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260727_000754_a879f8a\celltype_annotation.tsv	7680559	cell-level table excluded from GitHub sync
