filename	url	size_bytes	size_gb	file_type	likely_content	required_for_gex	required_for_bcr	download_decision	decision_reason	local_path	source_container	sha256
GSE319733_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSE319733_RAW.tar	352532480	0.3283	raw_archive	raw_archive	False	False	skip	RAW.tar is explicitly excluded from default download			
GSM9524771_GEO_Metadata_LN1.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_GEO_Metadata_LN1.csv.gz	81374	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524771_GEO_Metadata_LN1.csv.gz	GSE319733_RAW.tar	e9b8dc4c47665153c5d24da9b93736036ae433280eb67637eb77cb6fdfb7118a
GSM9524771_P1_LN_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_P1_LN_barcodes.tsv.gz	9707	0.0	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524771_P1_LN_barcodes.tsv.gz	GSE319733_RAW.tar	5cf98f06fb7c96095a3ffb41e38736b706ee4ff3b90f472c602f201a1e7316bf
GSM9524771_P1_LN_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_P1_LN_features.tsv.gz	146202	0.0001	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524771_P1_LN_features.tsv.gz	GSE319733_RAW.tar	324a6ae15eb32880094062ade25dffac02a9543bcf5830cd56367b06dba7a0b1
GSM9524771_P1_LN_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_P1_LN_matrix.mtx.gz	9356521	0.0087	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524771_P1_LN_matrix.mtx.gz	GSE319733_RAW.tar	003486a1f0876d40214928d9a6d17c5afe761aea7996be94f06db7e2237619e5
GSM9524772_GEO_Metadata_LN2.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_GEO_Metadata_LN2.csv.gz	86320	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524772_GEO_Metadata_LN2.csv.gz	GSE319733_RAW.tar	14b9329bb23fd48c8cd5a6b0bc91812f2b74d042ad1564e513bbd2f399bd1465
GSM9524772_P2_LN_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_P2_LN_barcodes.tsv.gz	10033	0.0	barcodes	barcodes	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524772_P2_LN_barcodes.tsv.gz	GSE319733_RAW.tar	3d5e5394cc08edf9c12113a97f590a42788b4c662436847710d72f959af9dfa7
GSM9524772_P2_LN_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_P2_LN_features.tsv.gz	146202	0.0001	features	features	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524772_P2_LN_features.tsv.gz	GSE319733_RAW.tar	324a6ae15eb32880094062ade25dffac02a9543bcf5830cd56367b06dba7a0b1
GSM9524772_P2_LN_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_P2_LN_matrix.mtx.gz	10468425	0.0097	matrix	matrix	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524772_P2_LN_matrix.mtx.gz	GSE319733_RAW.tar	c72474f9e970f52a8abb1eab61f66d806a192a66074f4219e7154989a38fd462
GSM9524773_GEO_Metadata_LN3.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524773_GEO_Metadata_LN3.csv.gz	67009	0.0001	metadata	metadata	True	False	available_extracted	processed file already available from approved safe extraction	D:\Ovarian_AI_Target_Factory\data_raw\single_cell\GSE319733\processed_from_RAW\GSM9524773_GEO_Metadata_LN3.csv.gz	GSE319733_RAW.tar	3ab91410927d6a65c63bcef4c4b703ed6b96ba84a450fe72d29b6529064af7e2
