archive_member	size_bytes	file_type	allowed_by_whitelist	source_container
GSM9524771_GEO_Metadata_LN1.csv.gz	81374	cell_metadata	true	GSE319733_RAW.tar
GSM9524771_P1_LN_barcodes.tsv.gz	9707	gex_barcodes	true	GSE319733_RAW.tar
GSM9524771_P1_LN_features.tsv.gz	146202	gex_features	true	GSE319733_RAW.tar
GSM9524771_P1_LN_matrix.mtx.gz	9356521	gex_matrix	true	GSE319733_RAW.tar
GSM9524772_GEO_Metadata_LN2.csv.gz	86320	cell_metadata	true	GSE319733_RAW.tar
GSM9524772_P2_LN_barcodes.tsv.gz	10033	gex_barcodes	true	GSE319733_RAW.tar
GSM9524772_P2_LN_features.tsv.gz	146202	gex_features	true	GSE319733_RAW.tar
GSM9524772_P2_LN_matrix.mtx.gz	10468425	gex_matrix	true	GSE319733_RAW.tar
GSM9524773_GEO_Metadata_LN3.csv.gz	67009	cell_metadata	true	GSE319733_RAW.tar
GSM9524773_P3_LN_barcodes.tsv.gz	9000	gex_barcodes	true	GSE319733_RAW.tar
GSM9524773_P3_LN_features.tsv.gz	146202	gex_features	true	GSE319733_RAW.tar
GSM9524773_P3_LN_matrix.mtx.gz	7698950	gex_matrix	true	GSE319733_RAW.tar
GSM9524774_GEO_Metadata_LN4.csv.gz	120336	cell_metadata	true	GSE319733_RAW.tar
GSM9524774_P4_LN_barcodes.tsv.gz	43706	gex_barcodes	true	GSE319733_RAW.tar
GSM9524774_P4_LN_features.tsv.gz	333437	gex_features	true	GSE319733_RAW.tar
GSM9524774_P4_LN_matrix.mtx.gz	42568949	gex_matrix	true	GSE319733_RAW.tar
GSM9524775_GEO_Metadata_LN5.csv.gz	144742	cell_metadata	true	GSE319733_RAW.tar
GSM9524775_P5_LN_barcodes.tsv.gz	30141	gex_barcodes	true	GSE319733_RAW.tar
GSM9524775_P5_LN_features.tsv.gz	333437	gex_features	true	GSE319733_RAW.tar
GSM9524775_P5_LN_matrix.mtx.gz	35411147	gex_matrix	true	GSE319733_RAW.tar
GSM9524776_GEO_Metadata_LN6.csv.gz	54257	cell_metadata	true	GSE319733_RAW.tar
GSM9524776_P6_LN_barcodes.tsv.gz	6862	gex_barcodes	true	GSE319733_RAW.tar
GSM9524776_P6_LN_features.tsv.gz	146202	gex_features	true	GSE319733_RAW.tar
GSM9524776_P6_LN_matrix.mtx.gz	7034005	gex_matrix	true	GSE319733_RAW.tar
GSM9524777_P1_LN_all_contig_annotations.csv.gz	836592	vdj_contigs	true	GSE319733_RAW.tar
GSM9524778_P2_LN_all_contig_annotations.csv.gz	941724	vdj_contigs	true	GSE319733_RAW.tar
GSM9524779_P3_LN_all_contig_annotations.csv.gz	1367043	vdj_contigs	true	GSE319733_RAW.tar
GSM9524780_P4_LN_all_contig_annotations.csv.gz	1451381	vdj_contigs	true	GSE319733_RAW.tar
GSM9524781_P5_LN_all_contig_annotations.csv.gz	2358181	vdj_contigs	true	GSE319733_RAW.tar
GSM9524782_P6_LN_all_contig_annotations.csv.gz	539650	vdj_contigs	true	GSE319733_RAW.tar
GSM9524783_GEO_Metadata_PT1.csv.gz	134738	cell_metadata	true	GSE319733_RAW.tar
GSM9524783_P1_PT_barcodes.tsv.gz	1742587	gex_barcodes	true	GSE319733_RAW.tar
GSM9524783_P1_PT_features.tsv.gz	294478	gex_features	true	GSE319733_RAW.tar
GSM9524783_P1_PT_matrix.mtx.gz	82348634	gex_matrix	true	GSE319733_RAW.tar
GSM9524784_GEO_Metadata_PT2.csv.gz	58810	cell_metadata	true	GSE319733_RAW.tar
GSM9524784_P2_PT_barcodes.tsv.gz	1250835	gex_barcodes	true	GSE319733_RAW.tar
GSM9524784_P2_PT_features.tsv.gz	294478	gex_features	true	GSE319733_RAW.tar
GSM9524784_P2_PT_matrix.mtx.gz	29783364	gex_matrix	true	GSE319733_RAW.tar
GSM9524785_GEO_Metadata_PT3.csv.gz	156659	cell_metadata	true	GSE319733_RAW.tar
GSM9524785_P3_PT_barcodes.tsv.gz	1332982	gex_barcodes	true	GSE319733_RAW.tar
GSM9524785_P3_PT_features.tsv.gz	294478	gex_features	true	GSE319733_RAW.tar
GSM9524785_P3_PT_matrix.mtx.gz	58031486	gex_matrix	true	GSE319733_RAW.tar
GSM9524786_GEO_Metadata_PT4.csv.gz	84586	cell_metadata	true	GSE319733_RAW.tar
GSM9524786_P4_PT_barcodes.tsv.gz	43706	gex_barcodes	true	GSE319733_RAW.tar
GSM9524786_P4_PT_features.tsv.gz	333437	gex_features	true	GSE319733_RAW.tar
GSM9524786_P4_PT_matrix.mtx.gz	42568949	gex_matrix	true	GSE319733_RAW.tar
GSM9524787_P1_PT_all_contig_annotations.csv.gz	3879952	vdj_contigs	true	GSE319733_RAW.tar
GSM9524788_P2_PT_all_contig_annotations.csv.gz	3202876	vdj_contigs	true	GSE319733_RAW.tar
GSM9524789_P3_PT_all_contig_annotations.csv.gz	3251439	vdj_contigs	true	GSE319733_RAW.tar
GSM9524790_P4_PT_all_contig_annotations.csv.gz	1451381	vdj_contigs	true	GSE319733_RAW.tar
