patient_id	biological_sample_id	tissue_code	valid_bcr_cells	unique_clonotypes	expanded_clonotypes	shannon_diversity	gini_index
P1	P1_LN	LN	5884	3189	337	6.66348842902865	0.448890742075442
P1	P1_PT	PT	38613	6833	1661	6.1824718582347	0.796305012561105
P2	P2_LN	LN	5909	3563	542	7.26113656773994	0.3801284587219
P2	P2_PT	PT	58592	8630	2040	6.01996192251599	0.827983425497404
P3	P3_LN	LN	20122	5091	966	5.94335777171627	0.724119699532323
P3	P3_PT	PT	52535	7862	1185	4.53531060973721	0.842501473923806
P4	P4_LN	LN	10298	5164	697	6.85853064274781	0.485572540914369
P4	P4_PT	PT	10298	5164	697	6.85853064274781	0.485572540914369
P5	P5_LN	LN	12287	10416	902	9.11460544032862	0.144698433972339
P6	P6_LN	LN	3330	2465	175	7.32316844791519	0.25385499089353
