axis	gene	patient_id	tissue	cell_type	evidence_status	direction	effect_size	p_value	fdr	detection_rate	mean_expression	sample_count	patient_count	evidence_level	result_path	reason
SPP1-CD44/ITGB1 immune niche	SPP1	P1-P4	paired_LN_PT	B_cell	NEGATIVE	LN_ge_PT	0			0.00632017750241993		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	SPP1	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	LN_ge_PT	0			0.0104451830795482		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	SPP1	P1-P4	paired_LN_PT	endothelial	NEGATIVE	LN_ge_PT	0			0.00588235294117648		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	SPP1	P1-P4	paired_LN_PT	other	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	SPP1	P1-P4	paired_LN_PT	T_NK	NEGATIVE	LN_ge_PT	0			0		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	SPP1	P1-P4	paired_LN_PT	epithelial	NEGATIVE	LN_ge_PT	0			0.0181818181818182		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD44	P1-P4	paired_LN_PT	B_cell	SUPPORTED	LN_ge_PT	0.119831609486663	0.0852503858523113	0.42472418785702	0.502313303740504		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD44	P1-P4	paired_LN_PT	plasma_cell	SUPPORTED	PT_gt_LN	-0.025677733780079	0.647071317214503	0.647071317214503	0.212135698592185		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD44	P1-P4	paired_LN_PT	endothelial	SUPPORTED	LN_ge_PT	0.218487394957983	0.615254373539748	0.647071317214503	0.399559823929572		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD44	P1-P4	paired_LN_PT	other	SUPPORTED	LN_ge_PT	0			0.248579545454545		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD44	P1-P4	paired_LN_PT	T_NK	SUPPORTED	LN_ge_PT	0			0.527152796701768		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	CD44	P1-P4	paired_LN_PT	epithelial	SUPPORTED	LN_ge_PT	0			0.107142857142857		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	ITGB1	P1-P4	paired_LN_PT	B_cell	SUPPORTED	PT_gt_LN	-0.0808559741034022	0.084274116697452	0.42472418785702	0.249087767267172		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	ITGB1	P1-P4	paired_LN_PT	plasma_cell	SUPPORTED	PT_gt_LN	-0.0497715504112091	0.202729075862533	0.442239928118407	0.0986622166035515		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	ITGB1	P1-P4	paired_LN_PT	endothelial	SUPPORTED	PT_gt_LN	-0.0238095238095238	0.422649730810374	0.483028263783285	0.054421768707483		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	ITGB1	P1-P4	paired_LN_PT	other	SUPPORTED	LN_ge_PT	0			0.0730762987012986		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	ITGB1	P1-P4	paired_LN_PT	T_NK	SUPPORTED	LN_ge_PT	0			0.267131723884599		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	ITGB1	P1-P4	paired_LN_PT	epithelial	SUPPORTED	LN_ge_PT	0			0.0753246753246754		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	B_cell	NEGATIVE	PT_gt_LN	-0.00116015823917882	0.0693108024293548	0.42472418785702	0.000793435210905817		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
SPP1-CD44/ITGB1 immune niche	MMP14	P1-P4	paired_LN_PT	plasma_cell	NEGATIVE	PT_gt_LN	-0.00223372931262057	0.276399955074004	0.442239928118407	0.00185296863062153		8	4	patient_level_expression	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	P1-P4 paired patient-level detection comparison
