patient_id	tissue_code	broad_celltype	N	total_cells	proportion
P1	LN	B_cell	2029	2032	0.998523622047244
P1	LN	plasma_cell	2	2032	0.000984251968503937
P1	LN	endothelial	1	2032	0.000492125984251969
P1	PT	B_cell	4521	6643	0.680566009333133
P1	PT	plasma_cell	1876	6643	0.282402528977871
P1	PT	myeloid	144	6643	0.0216769531838025
P1	PT	other	35	6643	0.00526870389884089
P1	PT	endothelial	34	6643	0.00511816950173115
P1	PT	T_NK	22	6643	0.00331175673641427
P1	PT	epithelial	11	6643	0.00165587836820714
P2	LN	B_cell	2113	2113	1
P2	PT	B_cell	720	1185	0.607594936708861
P2	PT	T_NK	19	1185	0.0160337552742616
P2	PT	plasma_cell	319	1185	0.269198312236287
P2	PT	other	32	1185	0.0270042194092827
P2	PT	myeloid	79	1185	0.0666666666666667
P2	PT	endothelial	12	1185	0.010126582278481
P2	PT	epithelial	4	1185	0.00337552742616034
P3	LN	B_cell	1745	1756	0.99373576309795
P3	LN	endothelial	1	1756	0.000569476082004556
P3	LN	plasma_cell	10	1756	0.00569476082004556
P3	PT	plasma_cell	196	5153	0.0380360954783621
P3	PT	B_cell	4758	5153	0.923345623908403
P3	PT	T_NK	135	5153	0.02619833106928
P3	PT	endothelial	14	5153	0.00271686396274015
P3	PT	myeloid	23	5153	0.00446341936735882
P3	PT	other	22	5153	0.00426935765573452
P3	PT	epithelial	5	5153	0.000970308558121483
P4	LN	B_cell	4687	8713	0.537931826007116
P4	LN	T_NK	3775	8713	0.433260645013199
P4	LN	other	128	8713	0.0146906920693217
P4	LN	endothelial	56	8713	0.00642717778032825
P4	LN	plasma_cell	59	8713	0.00677149087570297
P4	LN	epithelial	7	8713	0.000803397222541031
P4	LN	fibroblast_CAF	1	8713	0.000114771031791576
P4	PT	B_cell	4687	8713	0.537931826007116
P4	PT	T_NK	3775	8713	0.433260645013199
P4	PT	other	128	8713	0.0146906920693217
P4	PT	endothelial	56	8713	0.00642717778032825
P4	PT	plasma_cell	59	8713	0.00677149087570297
P4	PT	epithelial	7	8713	0.000803397222541031
P4	PT	fibroblast_CAF	1	8713	0.000114771031791576
P5	LN	T_NK	3392	5773	0.587562792309025
P5	LN	B_cell	2120	5773	0.367226745193141
P5	LN	other	155	5773	0.0268491252381777
P5	LN	endothelial	65	5773	0.011259310583752
P5	LN	plasma_cell	35	5773	0.00606270569894336
P5	LN	myeloid	4	5773	0.000692880651307812
P5	LN	fibroblast_CAF	2	5773	0.000346440325653906
P6	LN	B_cell	1348	1351	0.997779422649889
P6	LN	plasma_cell	2	1351	0.00148038490007402
P6	LN	endothelial	1	1351	0.00074019245003701
