gene	patient_id	biological_sample_id	tissue	cell_type	mean_expression	detection_rate	cell_count
SPP1	P1	P1_LN	LN	B_cell			0
SPP1	P1	P1_LN	LN	plasma_cell			0
SPP1	P1	P1_LN	LN	endothelial			0
CD44	P1	P1_LN	LN	B_cell	0.836248336906333	0.54115327747659	2029
CD44	P1	P1_LN	LN	plasma_cell	0	0	2
CD44	P1	P1_LN	LN	endothelial	2.17478717681931	1	1
ITGB1	P1	P1_LN	LN	B_cell	0.334036957087083	0.213405618531296	2029
ITGB1	P1	P1_LN	LN	plasma_cell	0	0	2
ITGB1	P1	P1_LN	LN	endothelial	0	0	1
MMP14	P1	P1_LN	LN	B_cell	0	0	2029
MMP14	P1	P1_LN	LN	plasma_cell	0	0	2
MMP14	P1	P1_LN	LN	endothelial	0	0	1
CD209	P1	P1_LN	LN	B_cell			0
CD209	P1	P1_LN	LN	plasma_cell			0
CD209	P1	P1_LN	LN	endothelial			0
C1QA	P1	P1_LN	LN	B_cell	0	0	2029
C1QA	P1	P1_LN	LN	plasma_cell	0	0	2
C1QA	P1	P1_LN	LN	endothelial	0	0	1
C1QB	P1	P1_LN	LN	B_cell	0.000653363262283133	0.000492853622474125	2029
C1QB	P1	P1_LN	LN	plasma_cell	0	0	2
C1QB	P1	P1_LN	LN	endothelial	0	0	1
C1QC	P1	P1_LN	LN	B_cell	0.000527595219269454	0.000492853622474125	2029
C1QC	P1	P1_LN	LN	plasma_cell	0	0	2
C1QC	P1	P1_LN	LN	endothelial	0	0	1
SPP1	P1	P1_PT	PT	B_cell	0.0506744216597837	0.0249944702499447	4521
SPP1	P1	P1_PT	PT	plasma_cell	0.0999094804212055	0.0314498933901919	1876
SPP1	P1	P1_PT	PT	myeloid	2.35401756049646	0.618055555555556	144
SPP1	P1	P1_PT	PT	other	0	0	35
SPP1	P1	P1_PT	PT	endothelial	0.122218937650297	0.0294117647058824	34
SPP1	P1	P1_PT	PT	T_NK	0	0	22
SPP1	P1	P1_PT	PT	epithelial	0.355238463282322	0.0909090909090909	11
CD44	P1	P1_PT	PT	B_cell	0.563644582340289	0.335987613359876	4521
CD44	P1	P1_PT	PT	plasma_cell	0.246016688641268	0.118869936034115	1876
CD44	P1	P1_PT	PT	myeloid	0.44146849461374	0.229166666666667	144
CD44	P1	P1_PT	PT	other	0	0	35
CD44	P1	P1_PT	PT	endothelial	0.210995848666283	0.0588235294117647	34
CD44	P1	P1_PT	PT	T_NK	1.03594147508258	0.545454545454545	22
CD44	P1	P1_PT	PT	epithelial	0	0	11
ITGB1	P1	P1_PT	PT	B_cell	0.551979667844945	0.313647423136474	4521
ITGB1	P1	P1_PT	PT	plasma_cell	0.172583779372092	0.0911513859275053	1876
ITGB1	P1	P1_PT	PT	myeloid	0.515012459488159	0.298611111111111	144
ITGB1	P1	P1_PT	PT	other	0.240468903898221	0.0571428571428571	35
ITGB1	P1	P1_PT	PT	endothelial	0	0	34
ITGB1	P1	P1_PT	PT	T_NK	0.595332054909072	0.363636363636364	22
ITGB1	P1	P1_PT	PT	epithelial	0.402416109690196	0.0909090909090909	11
MMP14	P1	P1_PT	PT	B_cell	0.00362885860134625	0.0019907100199071	4521
MMP14	P1	P1_PT	PT	plasma_cell	0.00348631565545124	0.00159914712153518	1876
MMP14	P1	P1_PT	PT	myeloid	0.205492244456638	0.131944444444444	144
MMP14	P1	P1_PT	PT	other	0	0	35
MMP14	P1	P1_PT	PT	endothelial	0	0	34
MMP14	P1	P1_PT	PT	T_NK	0	0	22
MMP14	P1	P1_PT	PT	epithelial	0.266836576747616	0.0909090909090909	11
CD209	P1	P1_PT	PT	B_cell	0.000299529929594731	0.0002211900022119	4521
CD209	P1	P1_PT	PT	plasma_cell	0	0	1876
CD209	P1	P1_PT	PT	myeloid	0.0458527073757163	0.0277777777777778	144
CD209	P1	P1_PT	PT	other	0	0	35
CD209	P1	P1_PT	PT	endothelial	0	0	34
CD209	P1	P1_PT	PT	T_NK	0	0	22
CD209	P1	P1_PT	PT	epithelial	0	0	11
C1QA	P1	P1_PT	PT	B_cell	0.0368316721164302	0.0148197301481973	4521
C1QA	P1	P1_PT	PT	plasma_cell	0.0356753835817304	0.0111940298507463	1876
C1QA	P1	P1_PT	PT	myeloid	2.73223179169855	0.826388888888889	144
C1QA	P1	P1_PT	PT	other	0	0	35
C1QA	P1	P1_PT	PT	endothelial	0.0810415690474367	0.0294117647058824	34
C1QA	P1	P1_PT	PT	T_NK	0.0978926323465305	0.0454545454545455	22
C1QA	P1	P1_PT	PT	epithelial	0	0	11
C1QB	P1	P1_PT	PT	B_cell	0.0355528187385903	0.0139349701393497	4521
C1QB	P1	P1_PT	PT	plasma_cell	0.0447066062547003	0.0133262260127932	1876
C1QB	P1	P1_PT	PT	myeloid	2.46899747108829	0.75	144
