patient_id	biological_sample_id	tissue_code	broad_celltype	marker_genes_present	mean_module_score
P1	P1_LN	LN	B_cell	4	2.99748846408926
P1	P1_LN	LN	plasma_cell	5	0.231472555208727
P1	P1_LN	LN	T_NK	4	0.00671382924949885
P1	P1_LN	LN	myeloid	5	0.0194923476909348
P1	P1_LN	LN	epithelial	2	0.00929264169826818
P1	P1_LN	LN	endothelial	1	0.133698166279471
P1	P1_LN	LN	fibroblast_CAF	2	0.00517819289951421
P1	P1_PT	PT	B_cell	4	2.20788075216259
P1	P1_PT	PT	plasma_cell	5	1.26376482118454
P1	P1_PT	PT	T_NK	4	0.0489421877890008
P1	P1_PT	PT	myeloid	6	0.100990257517721
P1	P1_PT	PT	epithelial	5	0.00931632461271518
P1	P1_PT	PT	endothelial	2	0.0690731651345763
P1	P1_PT	PT	fibroblast_CAF	4	0.00292752371187661
P2	P2_LN	LN	B_cell	4	3.16500793999817
P2	P2_LN	LN	plasma_cell	5	0.400839378290465
P2	P2_LN	LN	T_NK	4	0.0244742076419799
P2	P2_LN	LN	myeloid	5	0.0195882653574277
P2	P2_LN	LN	epithelial	2	0.00816863341746375
P2	P2_LN	LN	endothelial	1	0.12879763470176
P2	P2_LN	LN	fibroblast_CAF	2	0.000233208958098188
P2	P2_PT	PT	B_cell	4	1.3406091159605
P2	P2_PT	PT	plasma_cell	5	0.903728284043602
P2	P2_PT	PT	T_NK	4	0.0489445911138887
P2	P2_PT	PT	myeloid	6	0.199892857989786
P2	P2_PT	PT	epithelial	5	0.00949925161412763
P2	P2_PT	PT	endothelial	2	0.0821317999144469
P2	P2_PT	PT	fibroblast_CAF	4	0.00647306329436055
P3	P3_LN	LN	B_cell	4	3.05349734320363
P3	P3_LN	LN	plasma_cell	5	0.353639821218202
P3	P3_LN	LN	T_NK	4	0.018445087150968
P3	P3_LN	LN	myeloid	5	0.0255310171694331
P3	P3_LN	LN	epithelial	2	0.00902446570706514
P3	P3_LN	LN	endothelial	1	0.118296890605876
P3	P3_LN	LN	fibroblast_CAF	2	0.00357434840074679
P3	P3_PT	PT	B_cell	4	2.52283289365118
P3	P3_PT	PT	plasma_cell	5	0.529708196446276
P3	P3_PT	PT	T_NK	4	0.141996079401792
P3	P3_PT	PT	myeloid	6	0.0306946193877393
P3	P3_PT	PT	epithelial	5	0.00513842310434278
P3	P3_PT	PT	endothelial	2	0.0332025752004805
P3	P3_PT	PT	fibroblast_CAF	4	0.00353691354549465
P4	P4_LN	LN	B_cell	4	1.56744295424772
P4	P4_LN	LN	plasma_cell	5	0.161075275693027
P4	P4_LN	LN	T_NK	4	0.645473670419652
P4	P4_LN	LN	myeloid	6	0.00788785089330279
P4	P4_LN	LN	epithelial	5	0.00524507365104574
P4	P4_LN	LN	endothelial	2	0.0623210499117434
P4	P4_LN	LN	fibroblast_CAF	4	0.00303592534355502
P4	P4_PT	PT	B_cell	4	1.56744295424772
P4	P4_PT	PT	plasma_cell	5	0.161075275693027
P4	P4_PT	PT	T_NK	4	0.645473670419652
P4	P4_PT	PT	myeloid	6	0.00788785089330279
P4	P4_PT	PT	epithelial	5	0.00524507365104574
P4	P4_PT	PT	endothelial	2	0.0623210499117434
P4	P4_PT	PT	fibroblast_CAF	4	0.00303592534355502
P5	P5_LN	LN	B_cell	4	1.26645216321338
P5	P5_LN	LN	plasma_cell	5	0.190894621784705
P5	P5_LN	LN	T_NK	4	0.867786641976184
P5	P5_LN	LN	myeloid	6	0.0137153678605188
P5	P5_LN	LN	epithelial	5	0.0056531629938179
P5	P5_LN	LN	endothelial	2	0.120166671439083
P5	P5_LN	LN	fibroblast_CAF	4	0.00434241093459073
P6	P6_LN	LN	B_cell	4	3.21633669898554
P6	P6_LN	LN	plasma_cell	5	0.322925454281853
P6	P6_LN	LN	T_NK	4	0.0445679374541026
P6	P6_LN	LN	myeloid	5	0.0217647354739019
P6	P6_LN	LN	epithelial	2	0.0146957668301129
P6	P6_LN	LN	endothelial	1	0.110281518724531
P6	P6_LN	LN	fibroblast_CAF	2	0.0053479750582362
