filename	error
GSM9524771_GEO_Metadata_LN1.csv.gz	missing patient or tissue in filename
GSM9524772_GEO_Metadata_LN2.csv.gz	missing patient or tissue in filename
GSM9524773_GEO_Metadata_LN3.csv.gz	missing patient or tissue in filename
GSM9524774_GEO_Metadata_LN4.csv.gz	missing patient or tissue in filename
GSM9524775_GEO_Metadata_LN5.csv.gz	missing patient or tissue in filename
GSM9524776_GEO_Metadata_LN6.csv.gz	missing patient or tissue in filename
GSM9524783_GEO_Metadata_PT1.csv.gz	missing patient or tissue in filename
GSM9524784_GEO_Metadata_PT2.csv.gz	missing patient or tissue in filename
GSM9524785_GEO_Metadata_PT3.csv.gz	missing patient or tissue in filename
GSM9524786_GEO_Metadata_PT4.csv.gz	missing patient or tissue in filename
