patient_id	biological_sample_id	tissue_code	cells_before_qc	cells_after_qc	median_nCount_RNA	median_nFeature_RNA	median_percent_mt	doublet_status
P1	P1_LN	LN	2069	2032	3776	1491	5.2054794520548	NOT_TESTED
P1	P1_PT	PT	492828	6643	1	1	0	NOT_TESTED
P2	P2_LN	LN	2154	2113	4451.5	1609	5.48588206503558	NOT_TESTED
P2	P2_PT	PT	342779	1185	1	1	0	NOT_TESTED
P3	P3_LN	LN	1787	1756	3310	1406	4.60539663217691	NOT_TESTED
P3	P3_PT	PT	367584	5153	1	1	0	NOT_TESTED
P4	P4_LN	LN	8878	8713	2851	1176	2.69809641369011	NOT_TESTED
P4	P4_PT	PT	8878	8713	2851	1176	2.69809641369011	NOT_TESTED
P5	P5_LN	LN	5966	5773	3523	1554	3.01501755035245	NOT_TESTED
P6	P6_LN	LN	1373	1351	4227	1697	3.33407423871972	NOT_TESTED
