gene	axis	source_dataset	source_module	evidence_type	evidence_status	direction	effect_size	statistic	p_value	fdr	sample_count	patient_count	cell_type	tissue	evidence_level	negative_evidence	result_path	analysis_code_sha	run_id
SPP1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
SPP1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	plasma_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
SPP1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	endothelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
SPP1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
SPP1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
SPP1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD44	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.119831609486663		0.0852503858523113	0.42472418785702	8	4	B_cell	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD44	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	PT_gt_LN	-0.025677733780079		0.647071317214503	0.647071317214503	8	4	plasma_cell	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD44	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.218487394957983		0.615254373539748	0.647071317214503	8	4	endothelial	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD44	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD44	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD44	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
ITGB1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	PT_gt_LN	-0.0808559741034022		0.084274116697452	0.42472418785702	8	4	B_cell	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
ITGB1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	PT_gt_LN	-0.0497715504112091		0.202729075862533	0.442239928118407	8	4	plasma_cell	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
ITGB1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	PT_gt_LN	-0.0238095238095238		0.422649730810374	0.483028263783285	8	4	endothelial	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
ITGB1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
ITGB1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
ITGB1	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	SUPPORTED	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression		D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
MMP14	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0011601582391788		0.0693108024293548	0.42472418785702	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
MMP14	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	PT_gt_LN	-0.0022337293126205		0.276399955074004	0.442239928118407	8	4	plasma_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
MMP14	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	endothelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
MMP14	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	other	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
MMP14	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	T_NK	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
MMP14	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	epithelial	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
CD209	SPP1-CD44/ITGB1 immune niche	GSE319733	GSE319733_GEX_patient_axis	patient_level_expression	NEGATIVE	LN_ge_PT	0.0		nan	nan	8	4	B_cell	paired_LN_PT	patient_level_expression	P1-P4 paired patient-level detection comparison	D:/Ovarian_AI_Target_Factory/results/scrna/GSE319733/20260727_000754_a879f8a/key_gene_expression_by_patient.tsv	ecbcea14cf30f79eed3109b834346cce36570df0	20260727_000754_a879f8a
