filename	url	size_bytes	size_gb	file_type	likely_content	required_for_gex	required_for_bcr	download_decision	decision_reason	local_path	sha256
GSE319733_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSE319733_RAW.tar	352532480	0.3283	raw_archive	raw_archive	False	False	skip	RAW.tar is explicitly excluded from default download		
GSM9524771_GEO_Metadata_LN1.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_GEO_Metadata_LN1.csv.gz	81374	0.0001	metadata	metadata	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524771_P1_LN_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_P1_LN_barcodes.tsv.gz	9707	0.0	barcodes	barcodes	True	False	failed	download failed: The read operation timed out		
GSM9524771_P1_LN_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_P1_LN_features.tsv.gz	146202	0.0001	features	features	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524771_P1_LN_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524771_P1_LN_matrix.mtx.gz	9356521	0.0087	matrix	matrix	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524772_GEO_Metadata_LN2.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_GEO_Metadata_LN2.csv.gz	86320	0.0001	metadata	metadata	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524772_P2_LN_barcodes.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_P2_LN_barcodes.tsv.gz	10033	0.0	barcodes	barcodes	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524772_P2_LN_features.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_P2_LN_features.tsv.gz	146202	0.0001	features	features	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524772_P2_LN_matrix.mtx.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524772_P2_LN_matrix.mtx.gz	10468425	0.0097	matrix	matrix	True	False	failed	download failed: HTTP Error 404: Not Found		
GSM9524773_GEO_Metadata_LN3.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE319nnn/GSE319733/suppl/GSM9524773_GEO_Metadata_LN3.csv.gz	67009	0.0001	metadata	metadata	True	False	failed	download failed: HTTP Error 404: Not Found		
